GU,"Koma, Cosmos Serpent",4382
WBG,"Ixhel, Scion of Atraxa",4355
GU,"Grolnok, the Omnivore",4301
WU,"Elminster",4299
RG,"Xenagos, God of Revels",4292
WUBRG,"Garth One-Eye",4277
B,"Tinybones, Trinket Thief",4264
WB,"Eriette of the Charmed Apple",4257
RGW,"Shalai and Hallar",4236
BRG,"Ognis, the Dragon's Lash",4236
BG,"Hapatra, Vizier of Poisons",4213
RGW,"Hazezon, Shaper of Sand",4199
G,"Selvala, Heart of the Wilds",4195
G,"Gargos, Vicious Watcher",4180
WU,"Kwain, Itinerant Meddler",4164
BGU,"Nine-Fingers Keene",4132
URW,"Gavi, Nest Warden",4131
UR,"Mizzix of the Izmagnus",4130
BG,"Slimefoot, the Stowaway",4123
B,"Shirei, Shizo's Caretaker",4072
GWUB,"Thrasios, Triton Hero",4070
BRG,"The Beamtown Bullies",4060
UB,"Araumi of the Dead Tide",4043
GW,"Trostani, Selesnya's Voice",4015
RG,"Ruric Thar, the Unbowed",4012
BRG,"Slimefoot and Squee",3997
WBG,"Anikthea, Hand of Erebos",3994
WUB,"Sen Triplets",3994
WBG,"Tayam, Luminous Enigma",3989
RG,"Etali, Primal Conqueror",3987
BR,"Juri, Master of the Revue",3942
UBR,"Evelyn, the Covetous",3935
UR,"Vadrik, Astral Archmage",3921
WU,"Zethi, Arcane Blademaster",3919
WU,"Ranar the Ever-Watchful",3917
BG,"Baba Lysaga, Night Witch",3915
B,"Syr Konrad, the Grim",3895
RG,"Minsc & Boo, Timeless Heroes",3893
BGU,"Jorn, God of Winter",3887
BGU,"Zimone and Dina",3841
W,"Myrel, Shield of Argive",3832
GW,"Karametra, God of Harvests",3819
WB,"Breena, the Demagogue",3819
UR,"Krark, the Thumbless",3809
WUB,"Kamiz, Obscura Oculus",3785
RWB,"Jan Jansen, Chaos Crafter",3782
URW,"Narset, Enlightened Exile",3777
B,"Ayara, First of Locthwain",3769
RGW,"Ghired, Conclave Exile",3746
UR,"Galazeth Prismari",3728
RGW,"Obuun, Mul Daya Ancestor",3717
WBG,"Doran, the Siege Tower",3717
BRG,"Prossh, Skyraider of Kher",3700
UBR,"Abaddon the Despoiler",3679
WUBRG,"Niv-Mizzet Reborn",3671
WB,"Ratadrabik of Urborg",3655
BR,"Kardur, Doomscourge",3637
GW,"Lathiel, the Bounteous Dawn",3631
WB,"Elenda, the Dusk Rose",3607
WB,"Greasefang, Okiba Boss",3595
WUB,"Yennett, Cryptic Sovereign",3594
G,"Vorinclex, Monstrous Raider",3592
B,"Imotekh the Stormlord",3571
BG,"Gyome, Master Chef",3569
WB,"Brimaz, Blight of Oreskos",3531
WBG,"Vishgraz, the Doomhive",3521
RGW,"Zacama, Primal Calamity",3520
RWB,"Kelsien, the Plague",3511
GWU,"Roon of the Hidden Realm",3508
U,"Bruvac the Grandiloquent",3504
UBR,"Goro-Goro and Satoru",3489
U,"Emry, Lurker of the Loch",3483
R,"Solphim, Mayhem Dominus",3481
UR,"Neera, Wild Mage",3431
WUBRG,"Child of Alara",3422
WUBR,"Kraum, Ludevic's Opus",3416
GW,"Hamza, Guardian of Arashin",3410
BR,"Ob Nixilis, Captive Kingpin",3410
URW,"Pramikon, Sky Rampart",3366
RWB,"Zurgo Helmsmasher",3342
GW,"Rhys the Redeemed",3339
BG,"Beledros Witherbloom",3324
WU,"Urza, Lord Protector",3313
G,"Ghalta, Primal Hunger",3309
RG,"Meria, Scholar of Antiquity",3308
GU,"Imoti, Celebrant of Bounty",3267
BRG,"Thantis, the Warweaver",3257
R,"Neheb, the Eternal",3255
B,"Karumonix, the Rat King",3249
GU,"Arixmethes, Slumbering Isle",3247
UBR,"Lord Xander, the Collector",3219
RGW,"Marisi, Breaker of the Coil",3202
R,"Purphoros, God of the Forge",3201
BG,"Carth the Lion",3182
BG,"Yargle and Multani",3182
BR,"Chainer, Nightmare Adept",3173
BGU,"Archelos, Lagoon Mystic",3163
RW,"Wyleth, Soul of Steel",3161
RW,"Firesong and Sunspeaker",3159
UR,"Breeches, Brazen Plunderer",3147
WUBRG,"Jared Carthalion",3146
GWU,"Rafiq of the Many",3131
WB,"Nalia de'Arnise",3113
WU,"Hylda of the Icy Crown",3099
RG,"Vrondiss, Rage of Ancients",3058
W,"Heliod, Sun-Crowned",3050
BG,"Jarad, Golgari Lich Lord",3043
RW,"General Ferrous Rokiric",3031
BR,"Grenzo, Dungeon Warden",3024
UR,"Ovika, Enigma Goliath",3021
BR,"Tor Wauki the Younger",2999
BR,"Rowan, Scion of War",2997
BG,"Belbe, Corrupted Observer",2991
UB,"Alela, Cunning Conqueror",2980
WB,"Orah, Skyclave Hierophant",2967
BR,"Raphael, Fiendish Savior",2959
WBG,"Kathril, Aspect Warper",2955
RG,"The Howling Abomination",2955
WB,"Killian, Ink Duelist",2946
UB,"Gisa and Geralf",2939
RGW,"Uril, the Miststalker",2932
BGU,"Cazur, Ruthless Stalker",2924
UBR,"Zevlor, Elturel Exile",2922
GWU,"Estrid, the Masked",2914
RWB,"Silvar, Devourer of the Free",2912
BR,"Mishra, Claimed by Gix",2910
BGU,"Otrimi, the Ever-Playful",2908
GUR,"Averna, the Chaos Bloom",2894
BRG,"Soul of Windgrace",2893
R,"Slicer, Hired Muscle",2891
WB,"Karlov of the Ghost Council",2881
BR,"Olivia, Crimson Bride",2881
R,"Rionya, Fire Dancer",2860
GW,"Gluntch, the Bestower",2860
U,"Octavia, Living Thesis",2846
URW,"Éowyn, Shieldmaiden",2844
UBRG,"Thrasios, Triton Hero",2842
BR,"Mogis, God of Slaughter",2821
UR,"Jhoira of the Ghitu",2777
GU,"Kenessos, Priest of Thassa",2761
RW,"Nahiri, Forged in Fury",2760
GUR,"Rashmi and Ragavan",2735
GU,"Kruphix, God of Horizons",2733
RGW,"Mayael the Anima",2713
WUB,"Zur, Eternal Schemer",2699
U,"Azami, Lady of Scrolls",2693
WB,"Burakos, Party Leader",2679
G,"Goreclaw, Terror of Qal Sisma",2675
R,"Ragavan, Nimble Pilferer",2647
WB,"Liesa, Forgotten Archangel",2644
R,"Daretti, Scrap Savant",2643
U,"Baral, Chief of Compliance",2635
BGU,"Damia, Sage of Stone",2617
GW,"Emmara, Soul of the Accord",2617
WUBRG,"Tazri, Beacon of Unity",2588
GW,"Cadira, Caller of the Small",2584
W,"Darien, King of Kjeldor",2572
WU,"Tameshi, Reality Architect",2571
W,"Adeline, Resplendent Cathar",2569
RGW,"Jared Carthalion, True Heir",2566
GUR,"Omnath, Locus of the Roil",2561
GU,"Esix, Fractal Bloom",2547
RG,"Wort, the Raidmother",2543
G,"Ezuri, Renegade Leader",2542
B,"Gix, Yawgmoth Praetor",2537
G,"Titania, Protector of Argoth",2517
R,"Imodane, the Pyrohammer",2513
BR,"Magar of the Magic Strings",2513
BG,"Old Stickfingers",2511
G,"Azusa, Lost but Seeking",2504
WUBRG,"Scion of the Ur-Dragon",2501
UR,"Magnus the Red",2489
UBR,"Saruman, the White Hand",2487
U,"Braids, Conjurer Adept",2482
G,"Baru, Wurmspeaker",2476
URW,"Brallin, Skyshark Rider",2470
RG,"Neyith of the Dire Hunt",2469
BR,"Blim, Comedic Genius",2467
UBR,"Tetsuo, Imperial Champion",2460
RG,"Halana and Alena, Partners",2455
R,"Urabrask",2445
GW,"Trelasarra, Moon Dancer",2445
BRGW,"Tana, the Bloodsower",2441
B,"Vito, Thorn of the Dusk Rose",2436
B,"Liliana, Heretical Healer",2429
RG,"Jolene, the Plunder Queen",2417
BG,"Sméagol, Helpful Guide",2393
RWB,"Ghen, Arcanum Weaver",2392
RGW,"Rocco, Street Chef",2392
UR,"Firkraag, Cunning Instigator",2391
RW,"Alibou, Ancient Witness",2382
BG,"Glissa, the Traitor",2381
GWU,"Brenard, Ginger Sculptor",2351
GWU,"Shanna, Purifying Blade",2333
WUB,"Sydri, Galvanic Genius",2333
WUBRG,"General Tazri",2329
BR,"Asmoranomardicadaistinaculdacar",2328
RG,"Svella, Ice Shaper",2320
G,"Yedora, Grave Gardener",2314
UR,"Aegar, the Freezing Flame",2309
GUR,"Illuna, Apex of Wishes",2308
R,"Norin the Wary",2306
R,"Zurzoth, Chaos Rider",2305
WUBRG,"Karona, False God",2300
BG,"Willowdusk, Essence Seer",2296
GU,"Ezuri, Stalker of Spheres",2293
RW,"Aurelia, the Warleader",2285
GU,"Pir, Imaginative Rascal",2281
UB,"Nymris, Oona's Trickster",2276
GWU,"Phelddagrif",2261
BGU,"Volrath, the Shapestealer",2249
GU,"Alaundo the Seer",2245
c,"Traxos, Scourge of Kroog",2242
GW,"Katilda, Dawnhart Prime",2240
UR,"Rielle, the Everwise",2232
BRG,"Maarika, Brutal Gladiator",2231
GU,"Edric, Spymaster of Trest",2223
BR,"Xantcha, Sleeper Agent",2211
RW,"Zabaz, the Glimmerwasp",2203
WU,"The Council of Four",2202
WU,"Kotori, Pilot Prodigy",2198
GW,"Torens, Fist of the Angels",2176
RGW,"Marath, Will of the Wild",2175
G,"Aeve, Progenitor Ooze",2166
RG,"Nikya of the Old Ways",2162
c,"Liberator, Urza's Battlethopter",2160
WU,"Bruna, Light of Alabaster",2153
WB,"Shadrix Silverquill",2141
UB,"Oona, Queen of the Fae",2140
GU,"Rashmi, Eternities Crafter",2134
RG,"Wulfgar of Icewind Dale",2134
GW,"Leinore, Autumn Sovereign",2130
WBG,"Bilbo, Birthday Celebrant",2128
WB,"Lurrus of the Dream-Den",2127
W,"God-Eternal Oketra",2126
RW,"Bruenor Battlehammer",2122
GWU,"Gorion, Wise Mentor",2120
GW,"Selvala, Explorer Returned",2120
UBR,"Jeleva, Nephalia's Scourge",2118
WUBRG,"Horde of Notions",2101
RW,"Brion Stoutarm",2097
BRG,"Kresh the Bloodbraided",2094
R,"Delina, Wild Mage",2092
BG,"Zask, Skittering Swarmlord",2092
UR,"Kediss, Emberclaw Familiar",2092
GW,"Emiel the Blessed",2091
G,"Ruxa, Patient Professor",2090
URW,"Commodore Guff",2087
RWB,"Licia, Sanguine Tribune",2079
UBR,"Sakashima of a Thousand Faces",2078
WB,"Thalisse, Reverent Medium",2071
BR,"Kroxa, Titan of Death's Hunger",2066
URW,"Ishai, Ojutai Dragonspeaker",2064
WB,"Kambal, Consul of Allocation",2051
UR,"Saheeli, the Gifted",2049
R,"Chiss-Goria, Forge Tyrant",2040
U,"Jin-Gitaxias, Progress Tyrant",2029
R,"Ashling the Pilgrim",2026
UBR,"Ashnod the Uncaring",2026
R,"Chandra, Fire of Kaladesh",2022
WB,"Minthara, Merciless Soul",2021
RG,"Klauth, Unrivaled Ancient",2021
RG,"Atarka, World Render",2009
BRG,"Vaevictis Asmadi, the Dire",2005
WU,"Heliod, the Radiant Dawn",2001
WUBRG,"Sliver Hivelord",1989
W,"Avacyn, Angel of Hope",1984
B,"Ashcoat of the Shadow Swarm",1982
RWB,"Megatron, Tyrant",1970
UB,"Xanathar, Guild Kingpin",1964
W,"Balan, Wandering Knight",1961
WBG,"Kethis, the Hidden Hand",1949
WUBR,"Bjorna, Nightfall Alchemist",1949
W,"Preston, the Vanisher",1944
BR,"Obosh, the Preypiercer",1944
URW,"The Archimandrite",1940
UR,"Eruth, Tormented Prophet",1938
WU,"Lavinia, Azorius Renegade",1935
W,"Oswald Fiddlebender",1928
RW,"Hofri Ghostforge",1926
G,"Ashaya, Soul of the Wild",1924
WUBRG,"Progenitus",1919
R,"Feldon of the Third Path",1911
BG,"Sarulf, Realm Eater",1910
c,"Graaz, Unstoppable Juggernaut",1904
UR,"Yusri, Fortune's Flame",1896
BR,"Syrix, Carrier of the Flame",1893
URW,"Kasla, the Broken Halo",1891
G,"Toski, Bearer of Secrets",1883
URW,"Optimus Prime, Hero",1881
BRG,"Vazi, Keen Negotiator",1875
WU,"Yorion, Sky Nomad",1871
G,"Yisan, the Wanderer Bard",1870
R,"Etali, Primal Storm",1869
UR,"Balmor, Battlemage Captain",1867
UBR,"Thraximundar",1858
B,"Toshiro Umezawa",1849
GU,"Slogurk, the Overslime",1841
U,"Charix, the Raging Isle",1833
WU,"Kangee, Sky Warden",1833
BR,"The Scorpion God",1831
W,"Sram, Senior Edificer",1822
B,"Ghoulcaller Gisa",1822
G,"Kosei, Penitent Warlord",1821
RG,"Klothys, God of Destiny",1815
G,"Titania, Voice of Gaea",1811
UB,"Lazav, Dimir Mastermind",1806
RW,"Raiyuu, Storm's Edge",1795
RW,"Neyali, Suns' Vanguard",1785
UB,"Eloise, Nephalia Sleuth",1779
GW,"Satsuki, the Living Lore",1770
R,"Birgi, God of Storytelling",1769
WB,"Daxos the Returned",1757
UR,"Zaffai, Thunder Conductor",1747
RGWU,"Bruse Tarl, Boorish Herder",1746
RGW,"Minsc, Beloved Ranger",1745
UBR,"Sedris, the Traitor King",1736
WUB,"Saruman of Many Colors",1732
GUR,"Surrak Dragonclaw",1731
RGW,"Mazzy, Truesword Paladin",1727
RW,"Otharri, Suns' Glory",1726
GU,"Galadriel of Lothlórien",1726
GU,"Kiora, Sovereign of the Deep",1719
WB,"Teysa, Orzhov Scion",1715
BR,"Valki, God of Lies",1714
GWU,"Amareth, the Lustrous",1706
UR,"Wyll, Blade of Frontiers",1703
BR,"Rivaz of the Claw",1701
WUB,"Nevinyrral, Urborg Tyrant",1700
BG,"Abomination of Llanowar",1699
RW,"Depala, Pilot Exemplar",1698
UR,"Jhoira, Ageless Innovator",1696
RW,"Gisela, Blade of Goldnight",1693
BG,"Grismold, the Dreadsower",1682
WUBRG,"Cecily, Haunted Mage",1681
WUB,"Bane, Lord of Darkness",1679
RGW,"Samut, Voice of Dissent",1669
WUB,"Sharuum the Hegemon",1668
WU,"Abdel Adrian, Gorion's Ward",1659
UBR,"Cormela, Glamour Thief",1656
URW,"Aragorn, King of Gondor",1656
W,"Odric, Lunarch Marshal",1654
R,"Lathliss, Dragon Queen",1653
BRG,"Mr. Orfeo, the Boulder",1652
WUBRG,"Jenson Carthalion, Druid Exile",1644
WB,"Felisa, Fang of Silverquill",1643
UB,"Ramses, Assassin Lord",1639
WUBRG,"Kyodai, Soul of Kamigawa",1637
GWU,"Perrie, the Pulverizer",1637
G,"Thrun, Breaker of Silence",1636
G,"Kodama of the West Tree",1636
BG,"Mazirek, Kraul Death Priest",1633
BR,"Greven, Predator Captain",1633
RW,"Queen Kayla bin-Kroog",1627
W,"Elesh Norn, Grand Cenobite",1620
GU,"Vorel of the Hull Clade",1618
WU,"Urza, Prince of Kroog",1612
RW,"Zirda, the Dawnwaker",1609
UB,"Talion, the Kindly Lord",1608
RWB,"Shanid, Sleepers' Scourge",1608
BR,"Wort, Boggart Auntie",1602
W,"Teshar, Ancestor's Apostle",1600
GWU,"Kros, Defense Contractor",1590
RG,"Baeloth Barrityl, Entertainer",1587
RGW,"Bright-Palm, Soul Awakener",1576
RG,"Borborygmos Enraged",1573
BRG,"Xira, the Golden Sting",1571
BR,"Sethron, Hurloon General",1569
U,"Svyelun of Sea and Sky",1564
RGW,"Kitt Kanto, Mayhem Diva",1552
U,"Sai, Master Thopterist",1544
WU,"Vega, the Watcher",1539
RW,"Akiri, Fearless Voyager",1537
R,"Godo, Bandit Warlord",1535
UBR,"Mairsil, the Pretender",1534
WU,"Ephara, God of the Polis",1533
WU,"Inniaz, the Gale Force",1533
W,"Mondrak, Glory Dominus",1532
B,"Skithiryx, the Blight Dragon",1531
URW,"Shu Yun, the Silent Tempest",1522
BRG,"Shattergang Brothers",1514
GW,"Jasmine Boreal of the Seven",1510
WB,"Frodo, Sauron's Bane",1510
RG,"Hallar, the Firefletcher",1510
RWB,"Piru, the Volatile",1505
R,"Jaxis, the Troublemaker",1499
URW,"Ruhan of the Fomori",1499
URW,"Vadrok, Apex of Thunder",1495
RW,"Duke Ulder Ravengard",1491
U,"Jin-Gitaxias",1489
B,"Trazyn the Infinite",1489
c,"Karn, Legacy Reforged",1481
R,"Toralf, God of Fury",1480
U,"The Reality Chip",1479
GU,"Tawnos, the Toymaker",1475
R,"Valduk, Keeper of the Flame",1474
U,"Unesh, Criosphinx Sovereign",1471
UR,"Myra the Magnificent",1470
UBR,"Sauron, Lord of the Rings",1464
GWU,"Isu the Abominable",1462
WUB,"Merieke Ri Berit",1447
UB,"Oskar, Rubbish Reclaimer",1447
GWU,"Lagrella, the Magpie",1444
WUBRG,"Sliver Gravemother",1440
GUR,"The Swarmlord",1436
GU,"Jadzi, Oracle of Arcavios",1434
UB,"Gyruda, Doom of Depths",1433
WUBRG,"Jegantha, the Wellspring",1429
RG,"Phylath, World Sculptor",1427
BR,"Hidetsugu, Devouring Chaos",1415
R,"Purphoros, Bronze-Blooded",1407
WBG,"Merry, Warden of Isengard",1403
BGU,"Tevesh Szat, Doom of Fools",1398
WU,"Rhoda, Geist Avenger",1384
BR,"Florian, Voldaren Scion",1384
UBR,"Malcolm, Keen-Eyed Navigator",1383
R,"Zo-Zu the Punisher",1377
G,"Greensleeves, Maro-Sorcerer",1375
BR,"Rakdos, the Showstopper",1368
UB,"Hidetsugu and Kairi",1368
BR,"Garna, Bloodfist of Keld",1365
WB,"Krav, the Unredeemed",1360
GW,"Lae'zel, Vlaakith's Champion",1357
BR,"Mishra, Tamer of Mak Fawa",1356
G,"Freyalise, Llanowar's Fury",1352
BG,"Hogaak, Arisen Necropolis",1351
UR,"Melek, Izzet Paragon",1349
GW,"Sigarda, Host of Herons",1348
GU,"Kodama of the East Tree",1344
U,"Tekuthal, Inquiry Dominus",1341
GW,"Yasharn, Implacable Earth",1339
WBG,"Narci, Fable Singer",1337
GWU,"Rigo, Streetwise Mentor",1333
RWB,"Jirina Kudro",1328
WU,"Errant and Giada",1327
U,"Kami of the Crescent Moon",1322
GW,"Sigarda, Font of Blessings",1314
UB,"Gale, Waterdeep Prodigy",1312
GW,"Ghalta and Mavren",1309
BGU,"Brokkos, Apex of Forever",1309
RG,"Stangg, Echo Warrior",1306
B,"Maralen of the Mornsong",1301
B,"Mari, the Killing Quill",1299
RW,"Iroas, God of Victory",1296
c,"Karn, Silver Golem",1292
BR,"Mahadi, Emporium Master",1289
WU,"Will, Scion of Peace",1287
RW,"Velomachus Lorehold",1285
UB,"Etrata, the Silencer",1280
GUR,"Yasova Dragonclaw",1280
BG,"Ishkanah, Grafwidow",1279
R,"Laelia, the Blade Reforged",1279
GW,"Tolsimir, Friend to Wolves",1274
R,"Auntie Blyte, Bad Influence",1273
GWUB,"Ishai, Ojutai Dragonspeaker",1272
WB,"Athreos, Shroud-Veiled",1268
GU,"Uro, Titan of Nature's Wrath",1265
WU,"Taigam, Ojutai Master",1263
GW,"Captain Sisay",1260
GUR,"Gimbal, Gremlin Prodigy",1259
B,"Chainer, Dementia Master",1259
UB,"Grimgrin, Corpse-Born",1256
WBG,"Reyhan, Last of the Abzan",1251
WB,"King of the Oathbreakers",1251
RG,"Grumgully, the Generous",1251
WB,"Astarion, the Decadent",1249
UBR,"Rograkh, Son of Rohgahh",1242
R,"Muxus, Goblin Grandee",1241
BG,"Nath of the Gilt-Leaf",1238
GUR,"Beluna Grandsquall",1235
RG,"Zilortha, Strength Incarnate",1234
RG,"Thromok the Insatiable",1234
WU,"Noyan Dar, Roil Shaper",1231
B,"Horobi, Death's Wail",1230
U,"Lier, Disciple of the Drowned",1228
WB,"Ayli, Eternal Pilgrim",1225
GW,"Calix, Guided by Fate",1222
WB,"Rodolf Duskbringer",1222
G,"Yeva, Nature's Herald",1215
U,"Eligeth, Crossroads Augur",1212
W,"Sephara, Sky's Blade",1201
GW,"Bess, Soul Nourisher",1201
BR,"Anje, Maid of Dishonor",1200
U,"Tetsuko Umezawa, Fugitive",1198
WUB,"Elenda and Azor",1197
GW,"Polukranos Reborn",1196
UB,"Sygg, River Cutthroat",1195
W,"Eight-and-a-Half-Tails",1193
UB,"Lazav, the Multifarious",1189
RG,"Kaima, the Fractured Calm",1185
UR,"Kaza, Roil Chaser",1184
UR,"Farideh, Devil's Chosen",1180
WBG,"Anafenza, the Foremost",1179
RW,"Koll, the Forgemaster",1176
